Date,MSCI Emerging Markets
04/2009,108556.64040677967
05/2009,119744.91509433962
06/2009,117854.72198952879
07/2009,131154.35118121377
08/2009,129492.74777186099
09/2009,137688.79360786724
10/2009,136409.265
11/2009,140163.74973041334
12/2009,151957.1831320283
01/2010,148028.06129170844
02/2010,152915.99014001474
03/2010,166389.2569330069
04/2010,170516.9978820879
05/2010,168336.14040789797
06/2010,167619.04390840195
07/2010,171138.74521031624
08/2010,172479.90790220822
09/2010,178076.40048358732
10/2010,180498.52985494697
11/2010,187355.23303585165
12/2010,195278.24777727883
01/2011,185437.56796669587
02/2011,181849.70649125346
03/2011,187514.25248117125
04/2011,184874.2587617766
05/2011,186045.5559541189
06/2011,182399.53462948865
07/2011,184172.9358345021
08/2011,165575.882366782
09/2011,151384.96649633415
10/2011,165353.6437540176
11/2011,161048.41426442092
12/2011,165013.48017621145
01/2012,180456.9307377049
02/2012,187500.12492747157
03/2012,182442.90107816714
04/2012,182250.92520054488
05/2012,172493.72077723133
06/2012,176570.03637807784
07/2012,184628.9060240964
08/2012,179321.75954325587
09/2012,185485.91387470998
10/2012,183485.72694527823
11/2012,185928.92679809025
12/2012,191967.52905866303
01/2013,189530.21118819187
02/2013,193178.36005788716
03/2013,194697.77426005466
04/2013,192233.2526162791
05/2013,188342.81316315546
06/2013,175443.93701834863
07/2013,174766.4672542373
08/2013,172352.92977710618
09/2013,179944.84602739723
10/2013,186832.35359577741
11/2013,184520.81207846594
12/2013,179494.29697628887
01/2014,171294.3968185854
02/2014,173198.84236588722
03/2014,178877.9828981723
04/2014,178740.17116245485
05/2014,188323.9198941721
06/2014,192690.45731439453
07/2014,200673.86427984157
08/2014,208249.3573703367
09/2014,202129.2216005722
10/2014,205499.48484509744
11/2014,204006.03835616438
12/2014,200184.9042253521
01/2015,216294.74924369747
02/2015,224307.68604982205
03/2015,231050.3492517892
04/2015,238760.16267498882
05/2015,234364.88395624433
06/2015,223985.0736437573
07/2015,212818.88808242907
08/2015,189362.0608114133
09/2015,183929.72471659377
10/2015,200389.64908777346
11/2015,200560.09870498156
12/2015,190652.2052356021
01/2016,177755.6744505494
02/2016,178006.03082292434
03/2016,192804.50213438735
04/2016,193584.78263614836
05/2016,190563.06842388384
06/2016,199295.82684201043
07/2016,209232.34710699183
08/2016,214135.64401724757
09/2016,216389.06884687752
10/2016,221184.7756806139
11/2016,217187.7351198872
12/2016,219759.92080447776
01/2017,227184.65673640167
02/2017,237647.89949985844
03/2017,241563.6882237396
04/2017,241503.2687099726
05/2017,242244.08918991176
06/2017,240749.22476340696
07/2017,248435.9917114351
08/2017,251964.628820296
09/2017,251423.91873623576
10/2017,264010.52041587903
11/2017,259843.8935268799
12/2017,266073.0086050196
01/2018,277531.5668780605
02/2018,270039.19870640244
03/2018,262785.50810810813
04/2018,266914.12509313686
05/2018,265884.7793486623
06/2018,255911.4654657746
07/2018,260018.9981595092
08/2018,254910.81690841986
09/2018,255285.8143227367
10/2018,238389.48639335576
11/2018,247334.622801303
12/2018,239016.8196157205
01/2019,259102.98676880222
02/2019,261347.22088297125
03/2019,267838.0442723631
04/2019,273941.6158673561
05/2019,255677.52542372886
06/2019,266371.92616871704
07/2019,268743.33930589183
08/2019,258381.81502355926
09/2019,266955.2405730554
10/2019,271629.89725658955
11/2019,275522.7020761245
12/2019,289613.94755207404
01/2020,280672.06302931596
02/2020,267703.9754577754
03/2020,226972.98236582696
04/2020,249624.58306362637
05/2020,245720.77176724144
06/2020,262449.3615109841
07/2020,270439.1989365294
08/2020,274353.6631658292
09/2020,275367.70592757093
10/2020,281323.7972302958
11/2020,300124.8890984975
12/2020,314686.34600277076
01/2021,328025.23353658535
02/2021,330961.2410857191
03/2021,337056.15300639655
04/2021,335284.9169011753
05/2021,339791.16941234324
06/2021,349573.9905923932
07/2021,326060.94202337903
08/2021,336310.36442453944
09/2021,330178.03853527934
10/2021,331593.04425933876
11/2021,326001.36159464926
12/2021,333361.95447642595
01/2022,332060.99134098244
02/2022,320938.50152692205
03/2022,316571.3680569318
04/2022,314924.564117647
05/2022,311280.7223186783
06/2022,299980.93568884186
07/2022,305045.90062757407
08/2022,312501.15936
09/2022,283156.8756462864
10/2022,269808.06723824894
11/2022,296069.81860061677
12/2022,284127.5013313332
01/2023,301863.2550540017
02/2023,288001.65574912896
03/2023,289860.49456551723
04/2023,283863.871286768
05/2023,286965.6660488627
06/2023,293112.9192159028
07/2023,307121.98181983124
08/2023,292403.4576923077
09/2023,291910.57449159527
10/2023,281032.5557811342
11/2023,294037.75462098594
12/2023,301785.53265323804
01/2024,292646.9060748459
02/2024,307730.0632399686
03/2024,315983.3625037207
04/2024,320588.26182697626
05/2024,317543.82672621927
06/2024,334333.78320716944
07/2024,332121.462659842
08/2024,329922.4453028171
09/2024,349067.73162684817
10/2024,342883.0784551551
11/2024,339780.77447658166
12/2024,346097.1292322707
01/2025,350909.5583242473
02/2025,352456.71935644327
03/2025,341488.23895192426
04/2025,328764.4025869731
05/2025,343242.92975284124
06/2025,351915.9446706414
07/2025,367958.9270160988
08/2025,364416.2874385083
