Date,MSCI World ex USA
03/2005,145593.96557512134
04/2005,141958.24708218788
05/2005,149436.92552200696
06/2005,154881.5452537743
07/2005,159870.2845158382
08/2005,162869.69120695355
09/2005,172508.80980096257
10/2005,167198.38008768996
11/2005,175330.12831973904
12/2005,183024.03938983672
01/2006,189445.38319174026
02/2006,192672.78527993287
03/2006,195022.33954743514
04/2006,197290.09480438635
05/2006,184912.5224251465
06/2006,186926.03031757596
07/2006,187879.38490007762
08/2006,191956.25131075125
09/2006,194695.2971662862
10/2006,201815.78455809958
11/2006,199891.79671862785
12/2006,206091.57072505244
01/2007,210806.3308895197
02/2007,208358.9983118968
03/2007,211980.90983494505
04/2007,216950.36819202226
05/2007,224273.83743964077
06/2007,223634.51696050997
07/2007,217292.96820734476
08/2007,214178.94864789004
09/2007,218780.49176488648
10/2007,224056.09383496057
11/2007,210714.461841075
12/2007,207315.2276467549
01/2008,186733.37551820817
02/2008,186394.51121575473
03/2008,176238.94446612074
04/2008,189291.51294301217
05/2008,192560.4574611833
06/2008,174702.5095906389
07/2008,170136.81199432482
08/2008,173280.63041175535
09/2008,152740.70543336208
10/2008,135627.50121704093
11/2008,128574.81346958976
12/2008,123779.07614464106
01/2009,121871.07266323689
02/2009,111023.854224289
03/2009,112435.3105273053
04/2009,127250.3513451398
05/2009,134975.25709408967
06/2009,133237.2864284522
07/2009,145706.7384392488
08/2009,151256.19842401397
09/2009,153506.3858709875
10/2009,149439.85932160405
11/2009,150864.2224056335
12/2009,159833.57135695798
01/2010,157141.01753593716
02/2010,161564.60848418757
03/2010,173126.0478350089
04/2010,172645.27928958513
05/2010,166173.987128724
06/2010,164250.54461564758
07/2010,169005.43310976317
08/2010,168453.61758180623
09/2010,171518.9593230551
10/2010,174950.07097629772
11/2010,178613.339440321
12/2010,187738.04495659343
01/2011,187160.01684139404
02/2011,192107.4630376025
03/2011,183316.41272300074
04/2011,184805.8610637848
05/2011,185248.88625801567
06/2011,181751.35573500567
07/2011,181172.54628786835
08/2011,163674.8406120555
09/2011,157564.34295093155
10/2011,166738.5481399802
11/2011,165942.98453978484
12/2011,170208.3806645603
01/2012,176171.10762960682
02/2012,182165.35075162686
03/2012,181994.86623029166
04/2012,180828.4674050248
05/2012,170689.12722466324
06/2012,179171.88145124447
07/2012,185921.6748214771
08/2012,186267.82656069874
09/2012,187188.19671855986
10/2012,187585.9712563261
11/2012,191634.8382338584
12/2012,194313.14308199653
01/2013,198514.99004951256
02/2013,202838.80019047722
03/2013,209617.9160748649
04/2013,214691.13283867686
05/2013,210947.65384950483
06/2013,201897.47420265817
07/2013,209514.97099124562
08/2013,207441.0925779712
09/2013,217659.49487577466
10/2013,222719.6538544197
11/2013,224578.42514069946
12/2013,224986.37765399556
01/2014,220297.11577864178
02/2014,227323.9145708296
03/2014,226713.44956431584
04/2014,229261.28420007974
05/2014,236962.82861807014
06/2014,239433.88490070208
07/2014,240072.49272860287
08/2014,243743.60004151135
09/2014,244970.45593355733
10/2014,242210.9407141057
11/2014,245994.3511013099
12/2014,244514.77892978996
01/2015,261664.471006312
02/2015,278901.05357507966
03/2015,286502.63954382006
04/2015,286752.7064116063
05/2015,290612.4176230834
06/2015,276824.57181776623
07/2015,286905.5538200028
08/2015,260124.18906161957
09/2015,247257.27632510586
10/2015,270348.5433275853
11/2015,277061.23102378566
12/2015,264394.4205123206
01/2016,245450.26935107072
02/2016,242733.20062300772
03/2016,247896.95045258716
04/2016,255463.8252447683
05/2016,258214.92647888476
06/2016,251539.65019139135
07/2016,263652.1555633613
08/2016,263445.26828904287
09/2016,265959.46167137305
10/2016,265912.6439370275
11/2016,269302.16646097176
12/2016,280578.02229435754
01/2017,283178.9644500127
02/2017,290716.9976614998
03/2017,295476.062828718
04/2017,295159.6018775574
05/2017,297090.16841185483
06/2017,292393.15740294853
07/2017,293008.2843262183
08/2017,290512.39996063366
09/2017,298525.9135871077
10/2017,306971.44911818975
11/2017,304554.47286414786
12/2017,306304.35822963895
01/2018,308634.63625839545
02/2018,299821.6015631182
03/2018,292073.2300465926
04/2018,304765.1551128135
05/2018,308696.4405571599
06/2018,306382.88884263934
07/2018,311824.49176895904
08/2018,308159.94354822347
09/2018,312582.97958368395
10/2018,294302.95085086866
11/2018,292976.25229479035
12/2018,275625.4309697546
01/2019,294316.77351809957
02/2019,303783.933221582
03/2019,310250.3854770411
04/2019,319521.43712825456
05/2019,306237.9600769618
06/2019,317908.28870716377
07/2019,320523.8317905379
08/2019,315904.3773661578
09/2019,329152.188234365
10/2019,331722.34935807664
11/2019,341124.6667973506
12/2019,344107.25826956506
01/2020,343004.6331688503
02/2020,314690.2673655908
03/2020,270765.97095170745
04/2020,291778.57180817774
05/2020,297087.131802117
06/2020,305557.7895574057
07/2020,296484.31416264287
08/2020,309380.3791490127
09/2020,306627.04478957196
10/2020,294825.270034134
11/2020,332056.28993121616
12/2020,338926.5283909803
01/2021,339043.4082763074
02/2021,348112.79615687195
03/2021,369047.7515814868
04/2021,369409.18754910916
05/2021,378519.90292424697
06/2021,384665.9746357975
07/2021,386993.30948803696
08/2021,395098.3535725363
09/2021,392197.6115700741
10/2021,401580.2457724636
11/2021,392288.72393075435
12/2021,413562.5557173519
01/2022,401333.40980307036
02/2022,393571.6127013744
03/2022,401653.44061859127
04/2022,395251.6359708474
05/2022,392097.4493209542
06/2022,366351.964767644
07/2022,391693.89109112
08/2022,380788.7455441392
09/2022,354472.29768968094
10/2022,367748.83292816434
11/2022,388799.2100527201
12/2022,376394.3976258751
01/2023,400965.60106506106
02/2023,399497.4044005677
03/2023,398762.59082243324
04/2023,406126.7470677778
05/2023,399250.7418755097
06/2023,411187.94879430026
07/2023,418447.69045924617
08/2023,407998.01086223265
09/2023,404439.2759486779
10/2023,386456.0916256859
11/2023,410707.00983124104
12/2023,428492.95944348344
01/2024,438796.4078011397
02/2024,446741.2072010072
03/2024,462455.44899303897
04/2024,454104.4743302156
05/2024,465651.52561229654
06/2024,464220.1887648402
07/2024,473345.6453650914
08/2024,477711.0584923151
09/2024,478298.4374366733
10/2024,467008.0877868881
11/2024,482307.4207098294
12/2024,477174.8068342362
01/2025,500712.83438463276
02/2025,508626.2528912603
03/2025,486806.48732660187
04/2025,484009.22514664434
05/2025,508317.8647106885
06/2025,503325.28276734985
07/2025,509144.30613393465
08/2025,521900.00284322887
09/2025,529225.3019355389
10/2025,543584.3793317025
11/2025,548691.9623693128
