Date,MSCI Europe
01/2020,503042.40035375487
02/2020,459495.6066936621
03/2020,393887.13272634806
04/2020,420318.0434094696
05/2020,429199.0781329704
06/2020,444179.3252061395
07/2020,435942.9612157399
08/2020,450382.05210469966
09/2020,444002.1333958664
10/2020,419320.1282010849
11/2020,479110.6358693489
12/2020,489767.1089312235
01/2021,488043.5876437918
02/2021,500593.88429921435
03/2021,533487.9191165894
04/2021,541251.3926647289
05/2021,558312.8257368612
06/2021,565407.5394437196
07/2021,575520.9460011658
08/2021,587032.4342752893
09/2021,571293.5169045591
10/2021,593643.261509041
11/2021,576998.3641555137
12/2021,617113.5434303305
01/2022,597849.3433084766
02/2022,578734.9951661042
03/2022,583238.6410857529
04/2022,578953.5771857572
05/2022,573865.205164538
06/2022,532999.3845892824
07/2022,569747.3164039922
08/2022,544831.4764256536
09/2022,510310.8028060511
10/2022,537728.4209466464
11/2022,572102.1290695528
12/2022,556616.6406674158
01/2023,595576.2755554975
02/2023,603810.7291722612
03/2023,603572.9589789583
04/2023,622573.1617627826
05/2023,602395.7505268039
06/2023,620614.5495238258
07/2023,630535.0069551577
08/2023,614157.4863395223
09/2023,605006.6169898075
10/2023,581043.0775316247
11/2023,620166.9517020354
12/2023,644135.1894200499
01/2024,656027.2050952587
02/2024,666916.6968666045
03/2024,692806.2299524446
04/2024,685583.7553768862
05/2024,709915.6540412569
06/2024,703495.5256276453
07/2024,710437.5232374836
08/2024,721192.9309480111
09/2024,716928.7044593027
10/2024,694156.1833572101
11/2024,703139.9017963521
12/2024,697375.2579658108
01/2025,745104.8678857392
02/2025,771142.1761290719
03/2025,740100.0390152235
04/2025,734564.9228067619
05/2025,770368.5005250714
06/2025,760661.6183343187
07/2025,765005.56047495
08/2025,776947.8308472121
09/2025,786758.1352612886
10/2025,805405.4263059536
